id,Name,titleProject_id,class,score
103,Пирцхалова Карина Леонидовна,452,10г,5
104,Павлочев Денис Борисович,432,11д,5
105,Арашкова Екатерина Евгеньевна,356,8х,None
106,Байсарова Людмила Василевна,215,11и,2
107,Кудекина Зинаида Игоревна,250,10и,3
108,Дерналов Виталий Викторович,1,9г,4
109,Сазинова Галина Романовна,61,9и,3
110,Остаченова Марина Эдуардовна,229,9т,5
111,Битюкова Яна Егоровна,488,9и,4
112,Иваницкий Константин Борисович,232,8д,5
113,Белянский Владислав Игоревич,74,11б,5
114,Баранкин Артём Алексеевич,382,9т,2
115,Шкабанова Софья Вадимовна,499,9х,4
116,Полозлов Денис Адамович,155,8т,3
117,Жунина Светлана Михайловна,162,8в,3
118,Пантыкин Борис Игоревич,245,9х,2
119,Доутова Марина Богдановна,189,11х,2
120,Трещалова Яна Андреевна,330,8б,3
121,Ивашечкин Александр Данилович,390,10т,4
122,Мазьянова Инна Богдановна,416,11в,4
123,Корогев Николай Евгеньевич,184,8б,5
124,Заидова Галина Максимовна,88,9т,4
125,Рамхин Кирилл Алексиевич,459,9х,4
126,Кизбабаев Эдуард Фёдорович,415,11т,2
127,Соурчаков Ярослав Валериевич,268,8б,2
128,Мотяшева Алена Михайловна,404,7т,2
129,Горшкова Наталия Яковлевна,340,11а,2
130,Зябрицкий Игорь Виталиевич,332,7а,5
131,Шельдяев Игорь Юриевич,97,7д,5
132,Шмелькин Максим Викторович,483,9т,5
133,Жалкин Алексей Алексеевич,43,7а,3
134,Худасов Денис Максимович,70,10д,2
135,Швичкова Наталья Эдуардовна,398,7г,4
136,Едская Жанна Валерьевна,436,11в,4
137,Поморзина Полина Евгеньевна,122,7д,4
138,Будачева Кира Олеговна,55,11х,4
139,Молкаев Василий Валериевич,216,8д,2
140,Яцынин Константин Тимофеевич,285,7г,2
141,Маховиков Василий Петрович,391,7х,4
142,Шаметова Евгения Вадимовна,463,7а,2
143,Законнова Жанна Евгеньевна,442,11и,None
144,Перчихин Аркадий Тимофеевич,164,10т,3
145,Бурдасова Ксения Игоревна,203,9а,3
146,Киссин Степан Иванович,251,7х,5
147,Вапилина Мария Егоровна,77,7д,2
148,Сигутина Дарья Федоровна,458,7б,2
149,Сошьяков Альберт Фёдорович,17,7т,4
150,Лугахина Клара Вадимовна,419,8в,4
151,Логецкий Анатолий Виталиевич,372,11б,4
152,Ковайкова Юлия Егоровна,75,10г,2
153,Вермутский Валерий Петрович,447,9и,5
154,Россомахов Олег Юриевич,56,8в,2
155,Циплакова Екатерина Егоровна,471,9б,5
156,Квятцева Алла Никитична,138,11в,2
157,Выхухолева Лариса Василевна,384,8б,5
158,Целохов Андрей Вадимович,433,8и,5
159,Бендин Иван Яковлевич,71,8и,4
160,Лазученков Василий Алексеевич,381,7х,2
161,Скоропухов Михаил Василиевич,69,10и,3
162,Мухонкин Тарас Романович,126,9и,4
163,Камерцев Владимир Кириллович,303,7а,3
164,Сандрыкина Анна Олеговна,324,10т,2
165,Недбайлов Алексей Денисович,15,7т,2
166,Серпков Ярослав Георгиевич,380,10б,4
167,Хатшуклов Аркадий Николаевич,42,11т,4
168,Литвалиева Алиса Егоровна,10,11и,3
169,Енесина Лиза Валерьевна,293,9б,5
170,Пикальков Эдуард Алексиевич,21,8д,5
171,Сачинский Валентин Кириллович,125,10т,2
172,Тарзанова Евгения Аркадьевна,96,9д,2
173,Лапундин Юрий Игоревич,267,8и,5
174,Личева Лиза Михайловна,453,9б,3
175,Смароверов Яков Борисович,131,11в,4
176,Вереина Алла Василевна,295,10и,3
177,Погиблева Дарья Леонидовна,283,9в,5
178,Байнова Анастасия Вадимовна,363,7б,3
179,Шиловский Вячеслав Максимович,438,9и,4
180,Сыждиков Пётр Василиевич,494,11х,5
181,Каценова Алёна Эдуардовна,165,11т,2
182,Мужицких Ева Олеговна,348,8х,3
183,Плеснецов Степан Юрьевич,22,10а,2
184,Игумнова Алёна Сергеевна,114,9д,4
185,Хадаров Владимир Валериевич,278,11т,5
186,Ступакова Кира Ивановна,421,8и,3
187,Шоленинов Федор Максимович,286,11т,4
188,Гундаров Руслан Николаевич,158,9д,4
189,Гречишева Марина Андреевна,464,7д,2
190,Утилова Алена Андреевна,253,11д,3
191,Роткичева Алиса Максимовна,410,10а,4
192,Колтышева Марина Вадимовна,87,11г,4
193,Гурычева Лариса Валерьевна,489,9б,2
194,Горцева Кристина Никитична,246,8и,4
195,Кутурин Геннадий Денисович,197,9в,2
196,Стефанков Яков Евгеньевич,318,10г,3
197,Множина Людмила Василевна,90,8б,2
198,Семисалов Георгий Иванович,316,9в,3
199,Рогалов Альберт Валериевич,327,9б,2
200,Черетаева Анастасия Олеговна,341,9б,2
201,Радоминова Любовь Игоревна,25,9и,5
202,Шувырина Лиза Андреевна,395,9а,5
203,Калиженков Семён Алексеевич,401,11а,4
204,Старокашин Константин Петрович,309,10а,3
205,Малтоцов Аркадий Яковлевич,218,8а,3
206,Кузеванова Ева Егоровна,116,7д,2
207,Нурулина Алёна Егоровна,284,9х,2
208,Лератов Герасим Сергеевич,374,10а,4
209,Людин Руслан Аркадиевич,498,7и,3
210,Пурин Виктор Данилович,154,8и,5
211,Лютов Виктор Юрьевич,288,11г,2
212,Марюшкина Яна Федоровна,345,10д,5
213,Томилова Кристина Михайловна,492,11б,3
214,Дистерев Валерий Валериевич,24,7г,3
215,Дочкин Геннадий Алексиевич,52,11и,5
216,Иняхин Руслан Сергеевич,234,7и,5
217,Знайкова Раиса Егоровна,148,11х,3
218,Кашавцев Аркадий Леонидович,58,7а,4
219,Пятернина Кристина Андреевна,445,7и,2
220,Гусеева Карина Викторовна,263,9и,2
221,Кастева Яна Сергеевна,108,7и,2
222,Гришанин Тарас Павлович,113,10т,2
223,Грамоткин Илья Викторович,195,8д,5
224,Мелисин Геннадий Василиевич,465,10г,2
225,Цинина Светлана Яковлевна,105,11г,5
226,Петов Георгий Адамович,57,9а,2
227,Реева Валентина Максимовна,146,11и,5
228,Слесивых Мария Аркадьевна,35,7и,5
229,Афтаева Полина Ивановна,193,10д,5
230,Кривицкий Валентин Виталиевич,208,8х,5
231,Чубатов Константин Леонидович,279,11а,4
232,Партенков Геннадий Павлович,418,8х,3
233,Черушев Григорий Борисович,84,7г,4
234,Тютекин Георгий Тимофеевич,262,7а,2
235,Янкевский Вячеслав Адамович,167,11г,4
236,Сухручкина Клавдия Аркадьевна,177,7в,4
237,Конофалова Клара Петровна,95,11д,5
238,Лигасов Михаил Павлович,491,11г,4
239,Писарьков Альберт Игоревич,313,8в,4
240,Варов Кирилл Иванович,28,8а,5
241,Пурынов Евгений Петрович,244,9и,3
242,Супрутская Вероника Викторовна,187,9а,2
243,Скроцкая Алина Федоровна,127,8г,3
244,Барадулин Вадим Юрьевич,281,11х,3
245,Точилин Дмитрий Фёдорович,476,8а,2
246,Бикмуллин Руслан Валериевич,333,11т,2
247,Серпичев Василий Алексиевич,394,10х,5
248,Вострышев Яков Аркадиевич,343,8г,5
249,Грушчева София Евгеньевна,480,11в,None
250,Кулапов Александр Юрьевич,109,9б,5
251,Чибисенков Владислав Фёдорович,375,8х,3
252,Утилов Роман Василиевич,254,9х,2
253,Татаурова Галина Федоровна,145,10т,4
254,Визавитина Наталия Леонидовна,101,10г,2
255,Мягченков Артём Денисович,115,7б,4
256,Брикова Инна Богдановна,256,9б,4
257,Наторкин Валентин Данилович,319,7и,2
258,Эштрекова Софья Алексеевна,76,9в,3
259,Кутаманова Кира Андреевна,182,10т,2
260,Кыштымова Евгения Эдуардовна,255,8в,5
261,Ккнязева Клавдия Дмитриевна,34,7б,5
262,Глаголина Алиса Никитична,249,9д,2
263,Рисина Раиса Валерьевна,451,10а,4
264,Ребров Алексей Георгиевич,289,8и,3
265,Вырысалова Александра Евгеньевна,39,11и,2
266,Гомольский Владимир Юриевич,314,11х,5
267,Швинова Марина Федоровна,271,8г,5
268,Рудковская Инна Дмитриевна,6,7т,3
269,Решеткина Дарья Василевна,408,10и,3
270,Евстихеев Игорь Василиевич,422,10х,5
271,Лазарина Алёна Федоровна,161,8б,3
272,Гляченков Григорий Николаевич,431,10а,5
273,Чардынцева Алина Вадимовна,135,10д,3
274,Скаредов Яков Иванович,337,9т,5
275,Юрицкий Эдуард Денисович,192,7д,3
276,Кравчина Светлана Аркадьевна,413,11г,5
277,Чмареткова Полина Вадимовна,449,10а,2
278,Углова Галина Романовна,260,9г,3
279,Згуровская Виктория Андреевна,220,9т,4
280,Секерский Станислав Сергеевич,235,10а,4
281,Жевайкин Евгений Адамович,86,11г,3
282,Коточигов Семён Игоревич,26,9д,5
283,Калонин Альберт Денисович,297,8б,2
284,Валягин Григорий Антонович,94,10в,4
285,Коцева Кристина Николаевна,412,9г,3
286,Голина Кристина Максимовна,3,7х,3
287,Батрамеев Анатолий Романович,354,9х,3
288,Чикмарев Валентин Валериевич,306,9и,5
289,Киницына Валерия Олеговна,202,7х,4
290,Числин Юрий Денисович,121,7в,2
291,Стебунова Юлия Романовна,358,9т,3
292,Кацов Павел Павлович,236,10г,5
293,Гоцев Тарас Викторович,41,8в,3
294,Мотовицкий Роман Аркадиевич,31,11и,5
295,Чурзина Клара Егоровна,308,10б,3
296,Щепалкина Валерия Сергеевна,134,9б,4
297,Утимишев Ярослав Игоревич,239,11а,3
298,Алуханов Кирилл Фёдорович,298,7т,2
299,Полунеев Валентин Валериевич,307,8и,2
300,Крупенова Наталия Андреевна,209,7в,5
301,Корнюшин Илья Юрьевич,44,10т,3
302,Паушева Виолетта Никитична,310,8г,4
303,Берзин Герасим Антонович,349,11т,5
304,Шулунова Алла Алексеевна,54,7д,4
305,Трепашова София Яковлевна,399,11а,2
306,Чумейкин Константин Антонович,8,8б,5
307,Польшиков Денис Игоревич,495,9и,2
308,Медоусова Жанна Романовна,252,7б,2
309,Акуратова Клавдия Андреевна,92,9г,5
310,Курмеева Елизавета Валерьевна,486,8а,5
311,Бадов Александр Аркадиевич,217,10г,3
312,Бакушин Эдуард Адамович,265,7б,5
313,Чебина Инна Сергеевна,273,10т,2
314,Подледнова Наталья Ивановна,112,11и,3
315,Садгеева Лиза Евгеньевна,460,11г,3
316,Акушин Борис Павлович,493,9т,2
317,Аришев Руслан Кириллович,379,10т,3
318,Гуслова Кристина Олеговна,389,9в,2
319,Глоточкина Оксана Аркадьевна,370,9и,5
320,Шапина Маргарита Романовна,163,8б,5
321,Дурылин Георгий Валериевич,261,11т,4
322,Болкисева Анна Викторовна,248,7х,4
323,Багапов Вячеслав Сергеевич,99,7д,4
324,Люцарева Яна Аркадьевна,376,11б,2
325,Боготынина София Егоровна,63,11б,5
326,Саюшкин Игорь Алексиевич,211,11х,5
327,Потешных Тамара Николаевна,468,11в,3
328,Незлина Жанна Василевна,426,8б,5
329,Федичева Вероника Кирилловна,37,7х,4
330,Пустынкин Вадим Антонович,388,10в,5
331,Аринакова Ирина Михайловна,150,8в,5
332,Обиралкова Мария Егоровна,294,11т,5
333,Аристарова Валентина Максимовна,443,11г,2
334,Яуров Герасим Юрьевич,38,9а,5
335,Духонькин Вячеслав Фёдорович,2,9в,4
336,Гвасков Евгений Михаилович,402,9в,5
337,Жабынина Галина Николаевна,185,7х,5
338,Шерюкова Виолетта Романовна,440,9б,4
339,Колокатов Пётр Евгеньевич,484,10в,3
340,Шайдуков Андрей Михаилович,317,9и,4
341,Смирнягина Дарья Игоревна,425,10в,4
342,Штырева Ева Олеговна,258,11и,2
343,Ашукин Вячеслав Михаилович,191,10т,4
344,Рубченкова Галина Алексеевна,190,9в,3
345,Зархин Иван Алексиевич,478,11и,5
346,Адиотов Дмитрий Павлович,156,7б,3
347,Тищенкова Раиса Валерьевна,79,7д,3
348,Лозеев Илья Петрович,205,10д,2
349,Кобяшов Герасим Михаилович,305,11т,2
350,Ронова Клавдия Валерьевна,107,7и,4
351,Стрижнов Алексей Евгеньевич,385,11г,3
352,Волынский Алексей Виталиевич,362,11т,5
353,Машонский Василий Данилович,23,9д,5
354,Буриева Зинаида Аркадьевна,104,11д,4
355,Борщина Алёна Ивановна,377,11а,5
356,Белчков Олег Иванович,275,10а,4
357,Остропиков Альберт Данилович,157,8г,2
358,Оргонова Любовь Максимовна,264,7б,4
359,Мальков Юрий Евгеньевич,228,7г,3
360,Свльхова Наталья Вадимовна,160,9т,5
361,Мякушков Герасим Леонидович,102,10т,3
362,Межуев Георгий Юриевич,355,8г,4
363,Чериншев Александр Сергеевич,439,8а,2
364,Муниров Алексей Андреевич,117,11г,3
365,Климухин Руслан Романович,269,10в,3
366,Дембская Екатерина Никитична,64,11б,4
367,Тюнеев Яков Фёдорович,417,10т,2
368,Трушитин Антон Данилович,168,9х,3
369,Балакишиев Роман Алексиевич,143,11х,5
370,Немтюрева Валерия Аркадьевна,12,10г,4
371,Складанова Клавдия Аркадьевна,257,9а,3
372,Заходина Полина Леонидовна,93,10д,4
373,Муринов Анатолий Борисович,171,11б,5
374,Гришалова Любовь Евгеньевна,301,8т,3
375,Ситчихин Станислав Георгиевич,247,8т,5
376,Просяных Георгий Василиевич,366,9в,2
377,Дзабиев Григорий Георгиевич,259,11д,5
378,Рыбаулин Григорий Алексеевич,140,11а,5
379,Тупиева Екатерина Ивановна,400,7д,2
380,Куверчева Алена Ивановна,170,10д,3
381,Цаблинова Виктория Богдановна,342,9г,4
382,Синенков Григорий Леонидович,230,9в,5
383,Лизункин Артур Олегович,4,11в,5
384,Славущева Александра Эдуардовна,81,8а,5
385,Шахвердов Дмитрий Антонович,132,11б,2
386,Рапацкая Ольга Ивановна,223,10г,3
387,Сторокожев Виталий Аркадиевич,159,9б,2
388,Половодов Кирилл Николаевич,18,8т,5
389,Халтанова Алена Дмитриевна,49,8б,3
390,Заложнев Роман Фёдорович,448,8в,4
391,Рыжих Кристина Аркадьевна,213,7а,4
392,Буров Руслан Игоревич,405,11и,5
393,Гачков Виталий Евгеньевич,277,9т,4
394,Кадилов Геннадий Борисович,225,10в,3
395,Гликина Алёна Эдуардовна,454,9б,3
396,Ичкинина Любовь Андреевна,299,8г,5
397,Мозшорина Кира Дмитриевна,65,8б,3
398,Брижеватов Константин Борисович,152,11т,2
399,Бучеров Тарас Викторович,429,10д,4
400,Мисютина Валерия Эдуардовна,368,9г,2
401,Льянов Федор Вадимович,328,8а,4
402,Щуркин Георгий Яковлевич,180,8в,4
403,Акулин Федор Адамович,241,10г,4
404,Волженкова Екатерина Ивановна,233,9д,4
405,Махометова София Викторовна,424,8и,3
406,Зызлов Геннадий Антонович,274,7в,3
407,Девляшова Кира Олеговна,51,11д,5
408,Яковкина Алена Никитична,320,9т,5
409,Бузулев Вадим Николаевич,331,10д,3
410,Ганельский Юрий Юриевич,474,9д,3
411,Шкапрова Ева Ивановна,371,7б,5
412,Чичирин Владимир Георгиевич,11,10а,4
413,Шилова Надежда Викторовна,124,9б,2
414,Коваев Руслан Михаилович,487,9т,3
415,Саверина Надежда Андреевна,407,11б,4
416,Тишанкин Олег Адамович,334,9д,3
417,Широпаев Валерий Сергеевич,406,9б,2
418,Щепанин Олег Адамович,226,7а,3
419,Оплетин Владислав Аркадиевич,361,10х,4
420,Оденова Карина Андреевна,409,8и,4
421,Семагин Альберт Андреевич,456,10х,4
422,Черданцева Анастасия Олеговна,128,8х,3
423,Лонцова Елизавета Эдуардовна,224,7х,3
424,Сарсекеева Алёна Никитична,462,11и,4
425,Аковецкий Антон Евгеньевич,500,8б,4
426,Аратский Станислав Борисович,351,9и,2
427,Чужриков Пётр Денисович,200,9в,3
428,Никитшин Алексей Кириллович,111,11и,3
429,Симендяев Василий Алексиевич,45,8д,4
430,Ошитков Максим Сергеевич,151,10г,4
431,Юрасов Евгений Романович,338,9и,3
432,Головяшин Павел Юриевич,179,7г,5
433,Манжурина Екатерина Сергеевна,219,7т,3
434,Никурашин Олег Евгеньевич,291,11х,2
435,Бехтерев Федор Вадимович,137,9х,3
436,Годлевская Катерина Дмитриевна,403,11г,3
437,Акиярова Алина Эдуардовна,9,11а,4
438,Милина Алена Петровна,359,8г,3
439,Воловин Борис Викторович,350,7т,2
440,Туморина Ксения Федоровна,133,8б,5
441,Желейков Вячеслав Яковлевич,199,8г,3
442,Шишорнина Екатерина Алексеевна,183,8т,3
443,Юумогулова Виолетта Игоревна,311,10х,3
444,Рецков Денис Денисович,85,10д,2
445,Химунина Елизавета Ивановна,392,7д,2
446,Кобрянов Александр Алексиевич,455,7т,2
447,Бирылов Тарас Данилович,243,11а,3
448,Туфатулин Ярослав Леонидович,485,8х,4
449,Долбишев Николай Аркадиевич,292,10б,5
450,Махтумова Алёна Эдуардовна,186,10б,4
451,Нарзаркин Алексей Романович,423,10т,2
452,Куранина Алена Леонидовна,196,9б,4
453,Ситюков Аркадий Евгеньевич,32,10в,3
454,Мизюрова Алиса Никитична,176,7г,4
455,Пандурова Алиса Дмитриевна,130,9б,2
456,Жилейкин Борис Тимофеевич,91,7в,2
457,Корпункова Виолетта Сергеевна,83,11а,3
458,Пашохонова Анастасия Федоровна,467,9в,4
459,Сузальцева Тамара Михайловна,357,8х,4
460,Чиличкина Светлана Яковлевна,5,8в,5
461,Шантыкова Карина Максимовна,198,10д,3
462,Недосекин Владислав Яковлевич,457,10а,4
463,Максимкин Федор Фёдорович,172,10г,2
464,Матбиюшина Виктория Игоревна,237,8д,2
465,Шишкунов Герасим Юрьевич,110,8т,4
466,Сухинин Георгий Алексиевич,475,10х,4
467,Бисеева Полина Романовна,48,7д,5
468,Жукулов Михаил Денисович,60,11г,3
469,Тоняев Герасим Петрович,378,9т,5
470,Шушенкова Алёна Олеговна,36,7и,2
471,Разроев Дмитрий Павлович,59,9а,2
472,Баззаев Анатолий Данилович,339,9д,2
473,Цекова Алла Олеговна,50,8д,2
474,Аборонова Алиса Алексеевна,444,7г,5
475,Ягловская Ева Олеговна,181,8в,4
476,Шароварова Яна Романовна,175,8а,4
477,Общев Яков Викторович,466,8а,4
478,Ойзерская Катерина Эдуардовна,120,7х,2
479,Прусский Ярослав Иванович,479,11б,2
480,Лабинов Павел Алексеевич,272,7б,5
481,Покровов Эдуард Павлович,312,8б,2
482,Мачехин Эдуард Данилович,19,7д,3
483,Кодорская Раиса Ивановна,27,11б,3
484,Кондраева Марина Ивановна,469,9д,3
485,Бульенков Валентин Иванович,136,10т,4
486,Тагакова Вероника Яковлевна,393,8т,4
487,Гершанова Любовь Евгеньевна,383,11т,5
488,Салина Алена Егоровна,73,11в,5
489,Фрумова Зинаида Аркадьевна,78,8а,4
490,Хорняков Борис Борисович,13,8г,2
491,Гдагазина Лиза Василевна,212,9т,5
492,Агаршев Ярослав Михаилович,276,9т,2
493,Корюшин Пётр Антонович,326,8х,2
494,Калаев Пётр Алексиевич,68,8а,3
495,Ккаталкина Виолетта Егоровна,53,7б,2
496,Рачнов Герасим Алексеевич,103,10а,5
497,Миндубаева Людмила Леонидовна,477,11и,2
498,Агафьева Вера Ивановна,352,11х,3
499,Житин Эдуард Адамович,481,9а,5
