id,Name,titleProject_id,class,score,login,password
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,jRx87Dy0
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,CJoU1TUN
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,rfn1AvmR
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,xBO8wvXd
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,r54ZzECw
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,mGHRZ0W2
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,lMEvJ6Nr
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,G8BhllmQ
67,Остюков Артур Романович,329,11и,3,Остюков_АР,dSZr6v90
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,Lb5YEt6A
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,IyZ8jfC0
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,jRPgr9KQ
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,hadqs5fE
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,dnJnYwt1
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,rABT92gl
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,UP176VeA
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,nBo7O8kF
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,brZXqM0D
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,MC6DOzVB
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,xGm1yxrr
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,vw4TkHvY
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,39ScqCuN
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,88dVfNNK
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,mztuq0GQ
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,96zN8Mst
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,DdS0JKLq
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,sGBH63hM
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,7gNdxSRk
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,NZ6rjiLw
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,Pn8oL2TS
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,9C9O1mEl
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,CO67wJyW
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,78kg0FOJ
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,l9soF7Yr
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,EyC1pWM6
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,G5zgAy2j
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,CO9sbrs4
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,5aZN3ekH
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,55dvW1Po
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,pb1bbJ8c
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,TRAcd3Xo
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,NhHev4VI
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,o7v3PTef
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,l7Ukty3w
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,8EB8e3Rj
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,8eydcJsP
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,PsZmJ3rB
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,zEN6eR2J
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,337Ewd5J
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,Hdnpblg6
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,YghT0kzn
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,pqfXT2Hq
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,43Yq1mK0
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,zxK1LBMa
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,4pfq8L67
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,sRz0n35S
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,H99jxotj
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,ORT5wMfD
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,8Q1IyjBA
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,8XX5qYIv
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,He5V3MsL
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,goh1s4Bo
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,b4qFwSTN
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,6s87UeRA
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,PuIkK8F8
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,9MRDrlPp
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,fE0BIkf6
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,auqZWb20
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,8V8u9T6e
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,DMd3PFcD
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,7i7LvvHW
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,yf1Zvf1P
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,hle8TTlh
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,fh9gdSvZ
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,fxj1E2Ca
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,lisku6aV
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,EaN9HlyZ
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,sG3Ip5r3
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,pjtHq8Ez
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,KkfAiIw0
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,R5dWEyW0
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,l9hHb3zf
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,Zn3ZVkr2
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,xnPFun5z
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,MUYpTld3
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,FJiuXOw7
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,TuW6yNnZ
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,yYP7SR50
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,f5HhSB7k
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,LnYPR6vz
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,X8bf5rZE
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,3MhDBjqD
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,gwBuo5lK
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,RMAWupg6
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,0I5igsYr
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,jyLBb5Ji
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,D4d1B5qi
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,WxQOa5wm
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,Tx17C825
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,6zZ6peid
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,JKi8LHda
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,B9gHDGez
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,v5vzo2OF
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,xHva4MUE
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,s6vlkLD6
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,Q0RuuWBw
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,2158FZqt
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,26OcSVM6
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,UbNb2GwS
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,4ayFSMlz
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,I0p4UJTi
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,ACtqOQ6A
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,Y3QHK3Mp
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,GZ7Nosik
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,nHYXjZ1h
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,qJt6WOLZ
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,Yw9KhxVk
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,nrwONd5w
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,By9UKqIZ
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,y7RtMIgE
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,y8sdVQEm
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,Urzw8Rpd
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,vLO06B7B
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,nTa1Losc
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,HKrd3URQ
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,iOBy1eCr
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,vHfD3UUm
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,sr8XBJ7o
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,3WDKzrLy
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,0zne86SQ
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,9SynOHKu
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,h0dpo3WE
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,ASaDK1jh
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,CGdcj43T
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,YW0yiedM
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,d69XgFhB
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,Y9eBUmeZ
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,SYnP9c0q
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,KD7LjcoN
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,jd936Oel
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,41FsiEXi
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,yoCwaML6
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,QRpUhK3m
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,3uZDaDDz
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,wFia1iPM
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,6AdfA5PB
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,GLMr7Dh3
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,EFgHL40f
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,AQXd89d1
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,rxupw1RO
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,aRgkt5EZ
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,zlwH1J3R
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,n2GosvRJ
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,6mgp4tiD
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,n59Bahe5
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,rT1ESnLK
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,0FejxHP7
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,8VXYBoIR
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,CdQsvO0f
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,IKeMY3V8
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,G3r5sAlR
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,zQPyi6I0
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,2Kzm39qJ
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,WZShbov5
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,EZS5I1ss
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,brWs9WaB
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,Ib0Rh4Mh
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,Z83O8zGQ
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,xHw5c0Ug
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,734gLnYh
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,G8YbvvFF
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,GUhRR2T6
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,Y9LogtMj
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,0qQm0FRu
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,agoj1Ajt
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,dQWFs3nT
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,9wilBC6j
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,bZ9cCwCC
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,Wr0dBXPu
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,C4M6SuRm
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,k8DGurBj
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,p4STyap3
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,vs4N6sI8
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,JBLAzvi4
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,jdBworZ8
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,i41HZBfl
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,eu0MXLhb
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,9ThwGtWi
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,4Ty8sEuE
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,X0hukXXH
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,cuNt2Pj5
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,sg3Vq9BS
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,olvkJm3z
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,kBmlruR6
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,kib92cEa
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,oWmEkJ62
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,XflI0Kdu
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,Pf0lZxax
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,vJr2L78Y
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,oLn2bm3M
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,aq4UMyiM
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,cnZIP8Z5
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,F2YkksC0
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,7XZRx9GY
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,6soD65sy
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,Rpdz9SSK
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,hNMybi1k
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,s7SXlA2x
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,DQW2UpYe
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,NF0e64xk
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,UbOge4ti
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,oB7EYjaG
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,Ea8gtdB2
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,1nqbuSfS
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,9D00ZNjP
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,3yoUlTVX
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,RgiuV02I
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,66y5WIfi
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,h1FcdeUn
278,Углова Галина Романовна,260,9г,3,Углова_ГР,A8hwJ7ny
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,6de1TAXC
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,PBD7QxJ4
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,pNll5Gfx
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,ooeX7Tia
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,nysdF2jL
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,2YbT3bp3
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,i8MqKgep
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,wpCjfL9r
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,or4aVsy6
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,gSXPx2gO
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,u6HaIrvp
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,cbCi8jwW
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,XmrvsmZ6
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,B0Srlf4e
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,VCvQdrW0
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,28fqaiIR
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,XzTf30ah
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,4m9yFexa
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,XSc5YDoa
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,adOqp8cq
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,2Cv464lh
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,SINYHai7
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,cEWI7RYD
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,V9jaSHda
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,kK0ttisq
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,vData33H
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,eKgkfw0J
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,Z2M2H1zQ
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,sPYmz9xc
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,59FFnN5z
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,WC1vmEgk
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,jw6Z7dbH
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,7HFQIE5s
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,Fmf9fef8
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,L354lRJk
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,O1owFu5M
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,TxlDGA4h
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,6tSo8J98
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,3QBa0Six
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,9dkF60dy
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,a5cmBFJB
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,9V7RMwdz
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,ju6ujluZ
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,htQzI8Aq
